,country_code,country_name,location
329,,Bosnia and Herzegovina,kiseljak
330,,Austria,kitzbuhel
331,,United States of America,knoxville
332,,Japan,kobe
333,,Germany,koblenz
334,,Japan,kofu
335,,Belgium,koksijde
336,,India,kolkata
337,,South Korea,korea
338,,Slovakia,kosice
339,,Poland,koszalin
340,,Austria,kramsach
341,,Malaysia,kuala lumpur
342,,China,kun-ming
343,,China,kunshan
344,,Kuwait,kuwait
345,,Japan,kyoto
346,,Italy,l'aquila
347,,Nigeria,lagos
348,,United States of America,lahaina
349,,Paraguay,lambare
350,,Belgium,lambermont
351,,Laos,laos
352,,Spain,las palmas gran canaria
353,,United States of America,las vegas
354,,Belgium,lasne
355,,Latvia,latvia
356,,Australia,launceston
357,,Lebanon,lebanon
358,,United States,leon
359,,Russia,lermontov
360,,United States,lexington
361,,Czechia,liberec
362,,France,lille
363,,Peru,lima
364,,Portugal,lisboa
365,,Portugal,lisbon
366,,Lithuania,lithuania
367,,United States,little rock
368,,China,liuzhou
369,,Slovenia,ljubljana
370,,United Kingdom,london
371,,United Kingdom,london olympics
372,,United States of America,los angeles
373,,Mexico,los cabos
374,,United Kingdom,loughborough
375,,Portugal,loule
376,,China,luan
377,,Germany,ludwigshafen
378,,Switzerland,lugano
379,,China,luzhou
380,,France,lyon
381,,North Macedonia,macedonia
382,,Spain,madrid
383,,Spain,madrid masters
384,,Portugal,maia
385,,Spain,majadahonda
386,,Malaysia,malaysia
387,,Uruguay,maldonado
388,,United States,malibu
389,,Spain,mallorca
390,,Spain (territorial waters),manacor
391,,Bahrain,manama
392,,United Kingdom,manchester
393,,Italy,manerbio
394,,Philippines,manila
395,,Italy,manta
396,,Mozambique,maputo
397,,Spain,marbella
398,,Germany,marburg
399,,Morocco,marrakech
400,,France,marsa
401,,France,marseille
402,,Spain,martos
403,,Japan,matsuyama
404,,United States of America (Middle Hawai'ian Islands territorial waters),maui
405,,Colombia,medellin
406,,Germany,meerbusch
407,,Morocco,meknes
408,,Australia,melbourne
409,,Spain,melilla
410,,United States of America,memphis
411,,Argentina,mendoza
412,,Turkey,mersin
413,,Lebanon,meshref
414,,Italy,mestre
415,,France,metz
416,,Mexico,mexico
417,,Mexico,mexico city
418,,United States,miami masters
419,,Italy,milan
420,,Australia,mildura
421,,Czechia,milovice
422,,Belarus,minsk
423,,Morocco,mohammedia
424,,Tunisia,monastir
425,,Belgium,mons
426,,France,montauban
427,,monte carlo masters,monte carlo masters
428,,Mexico,monterrey
429,,Uruguay,montevideo
430,,France,montpellier
431,,Italy,monza
432,,Mexico,morelos
433,,Australia,mornington
434,,Morocco,morocco
435,,Russia,moscow
436,,Czechia,most
437,,France,mouilleron captif
438,,France,mouilleron-le-captif
439,,Mozambique,mozambique
440,,France,mulhouse
441,,Germany,munich
442,,Spain,murcia
443,,Uzbekistan,namangan
444,,China,nanchang
445,,China,nang
446,,China,nanjing
447,,United States,napa
448,,Italy,naples
449,,Italy,napoli
450,,napoli2,napoli2
451,,Israel,netanya
452,,Netherlands,netherlands
453,,France,nevers
454,,India,new delhi
455,,United States of America,new haven
456,,United States of America,new york
457,,New Zealand,new zealand
458,,United States of America,newport
459,,United States of America,newport beach
460,,next gen finals,next gen finals
461,,Nicaragua,nicaragua
462,,France,nice
463,,Nigeria,nigeria
464,,China,ningbo
465,,Japan,nishi tama
466,,Japan,nishi tokyo
467,,Thailand,nonthaburi
468,,United States of America,norman
469,,Norway,norway
470,,United Kingdom,nottingham
471,,nottingham2,nottingham2
472,,New Caledonia,noumea
473,,Serbia,novi sad
474,,Spain,nules
475,,Kazakhstan,nur-sultan
476,,Germany,nussloch
477,,Switzerland,oberentfelden
478,,Germany,oberstaufen
479,,United States,ojai
480,,The Netherlands,oldenzaal
481,,Portugal,oliveira azemeis
482,,Czechia,olomouc
483,,Croatia,opatija
484,,Czech Republic,opava
485,,Poland,open
486,,United States,orange park
487,,Italy,orbetello
488,,United States of America,orlando
489,,Canada,orleans
490,,Italy,ortisei
491,,Norway,oslo
492,,Czechia,ostrava
493,,Spain,oviedo
494,,Italy,padova
495,,Finland,pajulahti
496,,Pakistan,pakistan
497,,Italy,palermo
498,,United States of America,palm coast
499,,Spain,palma del rio
500,,Italy,palmanova
501,,Panama,panama
502,,Panama,panama city
503,,Paraguay,paraguay
504,,Czechia,pardubice
505,,United States of America,paris masters
506,,Italy,parma
507,,Estonia,parnu
508,,France,pau
509,,Colombia,paz
510,,United States of America,pensacola
511,,Russia,penza
512,,Colombia,pereira
513,,Peru,peru
514,,Italy,perugia
515,,Luxembourg,petange
516,,Philippines,philippines
517,,United States of America,phoenix
518,,Slovakia,piestany
519,,Argentina,pinamar
520,,China,pingguo
521,,Italy,piombino
522,,Romania,pitesti
523,,United States,pittsburgh
524,,France,plaisir
525,,Australia,playford
526,,Bulgaria,plovdiv
527,,France,poitiers
528,,Poland,poland
529,,Italy,pontedera
530,,Slovakia,poprad
531,,Slovakia,poprad tatry
532,,Slovakia,poprad-tatry
533,,Croatia,porec
534,,Portugal,portimao
535,,Portugal,porto
536,,Brazil,porto alegre
537,,Slovenia,portoroz
538,,Ecuador,portoviejo
539,,Portugal,portugal
540,,potro alegre,potro alegre
541,,Poland,poznan
542,,Spain,pozoblanco
543,,Czech Republic,prague
544,,South Africa,pretoria
545,,Bosnia and Herzegovina,prijedor
546,,Czech Republic,prostejov
547,,Mexico,puebla
548,,United States,puerto rico
549,,Mexico,puerto vallarta
550,,Germany,pullach
551,,India,pune
552,,Uruguay,punta del este
553,,Qatar,qatar
554,,China,qingdao
555,,China,quanzhou
556,,Qatar,quatar
557,,United Kingdom,queen's club
558,,France,quimper
559,,Argentina,quinta lago
560,,Ecuador,quito
561,,China,qujing
562,,Israel,raanana
563,,Morocco,rabat
564,,Israel,ramat hasharon
565,,Italy,recanati
566,,Brazil,recife
567,,recife2,recife2
568,,Italy,reggio emilia
569,,France,remy
570,,France,remy provence
571,,France,rennes
572,,France,reunion island
573,,Spain,reus
574,,Greece,rhodes
575,,Spain,ribaroja turia
576,,Czechia,ricany
577,,Croatia,rijeka
578,,Italy,rimini
579,,Canada,rimouski
580,,Mexico,rio janeiro
581,,Belize,rio olympics
582,,Brazil,rio quente
583,,United States,rochester
584,,France,rodez
585,,United Kingdom,roehampton
586,,Mexico,roland garros
587,,Romania,romania
588,,Italy,rome
589,,rome masters,rome masters
590,,rome2,rome2
591,,rome3,rome3
